id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,Verified
318918921975652352,318918921975652352,2013-04-02 09:52:50 SE Asia Standard Time,2013-04-02,09:52:50,700,962730368,indkbr,indkbr,,"#KbrIndonesia Perangi IUU Fishing, KKP Perkuat Hakim Adhoc Pengadilan Perikanan",in,[],[],[],0,0,0,['kbrindonesia'],[],https://twitter.com/indkbr/status/318918921975652352,False,,0,,,,,,,,[],,,,,No
332052821417533440,332052821417533440,2013-05-08 15:42:16 SE Asia Standard Time,2013-05-08 00:00:00,15:42:16,700,22126902,republikaonline,Republika.co.id,,Indonesia-Malaysia Rampungkan Pemeriksaan IUU Fishing  http://t.co/8LmSzZSvg1,in,[],['http://republika.co.id/r/mmh1ie'],[],0,0,1,[],[],https://twitter.com/republikaonline/status/332052821417533440,False,,0,,,,,,,,[],,,,,Yes
332053412357222401,332053412357222400,2013-05-08 15:44:37 SE Asia Standard Time,2013-05-08,15:44:37,700,377965752,farishafcca,Farisha Claudya C.A,,"""@republikaonline: Indonesia-Malaysia Rampungkan Pemeriksaan IUU Fishing  http://t.co/3f2rlQxJaF""",in,"[{'screen_name': 'republikaonline', 'name': 'republika.co.id', 'id': '22126902'}]",['http://republika.co.id/r/mmh1ie'],[],0,0,0,[],[],https://twitter.com/farishafcca/status/332053412357222401,False,,0,,,,,,,,[],,,,,No
332053876985458688,332053876985458688,2013-05-08 15:46:28 SE Asia Standard Time,2013-05-08,15:46:28,700,213013928,portalberita,Portal Berita INA,,Indonesia-Malaysia Rampungkan Pemeriksaan IUU Fishing  http://t.co/MHmF40TKMg,in,[],['http://bit.ly/15EqBba'],[],0,0,0,[],[],https://twitter.com/portalberita/status/332053876985458688,False,,0,,,,,,,,[],,,,,No
332054339797540864,332054339797540864,2013-05-08 15:48:18 SE Asia Standard Time,2013-05-08,15:48:18,700,562981779,ersaralfymoh,ersa ralfy,,Indonesia-Malaysia Rampungkan Pemeriksaan IUU Fishing  http://t.co/5DAEHe9DBM,in,[],['http://dlvr.it/3LMPRB'],[],0,0,0,[],[],https://twitter.com/ersaralfymoh/status/332054339797540864,False,,0,,,,,,,,[],,,,,No
332055474356764672,332055474356764672,2013-05-08 15:52:49 SE Asia Standard Time,2013-05-08,15:52:49,700,519420319,jioenf,Rahmat Fauzi,,Indonesia-Malaysia Rampungkan Pemeriksaan IUU Fishing  http://t.co/q0CDxknkiL,in,[],['http://dlvr.it/3LMSLm'],[],0,0,0,[],[],https://twitter.com/JioenF/status/332055474356764672,False,,0,,,,,,,,[],,,,,No
332055517658746880,332055517658746880,2013-05-08 15:52:59 SE Asia Standard Time,2013-05-08,15:52:59,700,998688530,beritaterkinii,Berita Terkini,,Indonesia-Malaysia Rampungkan Pemeriksaan IUU Fishing  http://t.co/zzLBUvKiDp,in,[],['http://dlvr.it/3LMSSQ'],[],0,0,0,[],[],https://twitter.com/BeritaTerkinii/status/332055517658746880,False,,0,,,,,,,,[],,,,,No
332056314106748928,332056314106748928,2013-05-08 15:56:09 SE Asia Standard Time,2013-05-08,15:56:09,700,325926759,raizmakmur,Raiz Makmur,,#BreakingNews Indonesia-Malaysia Rampungkan Pemeriksaan IUU Fishing  http://t.co/JGlcXdZBJc,in,[],['http://dlvr.it/3LMVTb'],[],0,0,0,['breakingnews'],[],https://twitter.com/RaizMakmur/status/332056314106748928,False,,0,,,,,,,,[],,,,,No
332058559200235521,332058559200235520,2013-05-08 16:05:04 SE Asia Standard Time,2013-05-08,16:05:04,700,861401468,komentarkeras,Komentar Keras !,,#Republika Indonesia-Malaysia Rampungkan Pemeriksaan IUU Fishing  http://t.co/VYF1vrwC2J,in,[],['http://dlvr.it/3LMc7z'],[],0,0,0,['republika'],[],https://twitter.com/KomentarKeras/status/332058559200235521,False,,0,,,,,,,,[],,,,,No
332058834275278848,332058834275278848,2013-05-08 16:06:10 SE Asia Standard Time,2013-05-08,16:06:10,700,469073948,newspaper_indo,NEWS PAPER INDONESIA,,Indonesia-Malaysia Rampungkan Pemeriksaan IUU Fishing  http://t.co/VypNnDRWOU,in,[],['http://dlvr.it/3LMcmk'],[],0,1,0,[],[],https://twitter.com/NEWSPAPER_INDO/status/332058834275278848,False,,0,,,,,,,,[],,,,,No
332060880911077377,332060880911077376,2013-05-08 16:14:18 SE Asia Standard Time,2013-05-08,16:14:18,700,630537619,samarindatweet,Twit Samarinda,,Indonesia-Malaysia Rampungkan Pemeriksaan IUU Fishing - Republika Online  http://t.co/Q4zVXQUgFl,in,[],['http://dlvr.it/3LMkCj'],[],0,0,0,[],[],https://twitter.com/SamarindaTweet/status/332060880911077377,False,,0,,,,,,,,[],,,,,No
332060946673573888,332060946673573888,2013-05-08 16:14:33 SE Asia Standard Time,2013-05-08,16:14:33,700,398720194,traumka,`,,Indonesia-Malaysia Rampungkan Pemeriksaan IUU Fishing - Republika Online  http://t.co/zRYO5OhoaO,in,[],['http://dlvr.it/3LMkRT'],[],0,0,0,[],[],https://twitter.com/traumka/status/332060946673573888,False,,0,,,,,,,,[],,,,,No
332063355361701888,332063355361701888,2013-05-08 16:24:08 SE Asia Standard Time,2013-05-08,16:24:08,700,343529705,hansaboba6397,berita malaysia,,Hatta Rajasa News : Indonesia-Malaysia Rampungkan Pemeriksaan IUU Fishing - Republika Online: Republika Online...  http://t.co/qX77Ofdl70,in,[],['http://bit.ly/15EBMRb'],[],0,0,0,[],[],https://twitter.com/Hansaboba6397/status/332063355361701888,False,,0,,,,,,,,[],,,,,No
332063428644597760,332063428644597760,2013-05-08 16:24:25 SE Asia Standard Time,2013-05-08,16:24:25,700,263852518,galleryaceh,Gallery Aceh,,Indonesia-Malaysia Rampungkan Pemeriksaan IUU Fishing  http://t.co/2HqFH8Ua6N,in,[],['http://bit.ly/12TInAa'],[],0,0,0,[],[],https://twitter.com/GalleryAceh/status/332063428644597760,False,,0,,,,,,,,[],,,,,No
332063439377797121,332063439377797120,2013-05-08 16:24:28 SE Asia Standard Time,2013-05-08,16:24:28,700,448544816,dalkafmeulaboh,RADIO DALKA FM MEULABOH,,Indonesia-Malaysia Rampungkan Pemeriksaan IUU Fishing  http://t.co/HHftZa2IUo #InfoDalkaFM,in,[],['http://bit.ly/12TIlIx'],[],0,0,0,['infodalkafm'],[],https://twitter.com/DALKAFMeulaboh/status/332063439377797121,False,,0,,,,,,,,[],,,,,No
332063439402958848,332063439402958848,2013-05-08 16:24:28 SE Asia Standard Time,2013-05-08,16:24:28,700,957476796,kicauaceh,Kicau Aceh,,Indonesia-Malaysia Rampungkan Pemeriksaan IUU Fishing  http://t.co/iIvDQcfEAN #kicauaceh,in,[],['http://bit.ly/12TIlIx'],[],0,0,0,['kicauaceh'],[],https://twitter.com/kicauaceh/status/332063439402958848,False,,0,,,,,,,,[],,,,,No
